Census_geoid,Urban_name,CUHI_day_summer,Tree Area (%),Median Income (K)
25009253201,"Boston, MA--NH--RI",0.483291933,46.24721659,61.648
25021419700,"Boston, MA--NH--RI",0.4128944937,70.52494672,72.962
25025000601,"Boston, MA--NH--RI",1.057567207,20.06719532,51.341
25025080801,"Boston, MA--NH--RI",1.107049899,16.76073773,29.495
25021457200,"Boston, MA--NH--RI",0.5192043301,76.82598712,103.949
25017358400,"Boston, MA--NH--RI",0.107394998,77.21449602,105.337
25021417702,"Boston, MA--NH--RI",0.2532979196,19.29369097,73
25017356602,"Boston, MA--NH--RI",0.2514796823,75.26261546,92.426
25021400400,"Boston, MA--NH--RI",1.055003524,65.41590905,83.038
25009253204,"Boston, MA--NH--RI",-0.1087001038,92.09375504,103.772
25017374500,"Boston, MA--NH--RI",0.9518544551,60.78889955,103.833
25017382200,"Boston, MA--NH--RI",0.3176807103,80.46516752,81.25
25017361200,"Boston, MA--NH--RI",0.2265784411,85.75803444,96.154
25023523201,"Boston, MA--NH--RI",-0.004162539795,80.27566284,53.194
25009214100,"Boston, MA--NH--RI",-0.06513116036,82.17018506,89.938
25021441203,"Boston, MA--NH--RI",-0.1178464787,88.36489086,66.083
25017358100,"Boston, MA--NH--RI",0.1117327624,83.43286841,115.8
25021411301,"Boston, MA--NH--RI",-0.03020558751,83.59626611,85.734
33015054000,"Boston, MA--NH--RI",-0.1376256236,87.68386276,58.798
25017334300,"Boston, MA--NH--RI",0.2462607982,85.90200496,102.504
25009220101,"Boston, MA--NH--RI",-0.5639192026,53.52820558,55.242
25023501202,"Boston, MA--NH--RI",-0.1638485667,87.1605475,132.542
25023507101,"Boston, MA--NH--RI",-0.3994849272,86.97074682,91.172
25009223100,"Boston, MA--NH--RI",-0.03581752229,27.4469579,66.354
25021419500,"Boston, MA--NH--RI",0.3406262842,77.5010798,63.75
25025080100,"Boston, MA--NH--RI",1.123010556,6.794044983,31.817
25023504101,"Boston, MA--NH--RI",-0.3584949511,90.01376124,79.722
25025050300,"Boston, MA--NH--RI",0.5878568705,2.075071076,31.361
25021441204,"Boston, MA--NH--RI",-0.06835734302,68.69259303,71.905
25009268300,"Boston, MA--NH--RI",0.324285386,29.19228263,64.34
25009201100,"Boston, MA--NH--RI",-0.5012208021,19.23359368,71.667
25025000301,"Boston, MA--NH--RI",0.9981736417,49.09849489,60.272
25025080401,"Boston, MA--NH--RI",1.178748434,15.10315981,49.487
25021413300,"Boston, MA--NH--RI",0.1784181409,72.42132505,67.146
25023510600,"Boston, MA--NH--RI",0.1717850708,71.60575172,55
25017335400,"Boston, MA--NH--RI",0.280374831,83.32365983,72.637
25021406101,"Boston, MA--NH--RI",-0.0214831565,87.36060083,105.586
25017339500,"Boston, MA--NH--RI",1.021248119,28.47315353,55.489
33015106101,"Boston, MA--NH--RI",-0.2384495118,87.44471205,79.684
25009251000,"Boston, MA--NH--RI",1.2188613,16.9197238,28.807
25017354600,"Boston, MA--NH--RI",0.9621557392,24.35558287,67.802
25017361300,"Boston, MA--NH--RI",0.03002636403,79.54174091,123.56
25017339400,"Boston, MA--NH--RI",0.8613371443,30.92040052,61.204
25017320104,"Boston, MA--NH--RI",-0.2714573292,87.66235765,96.055
25021415200,"Boston, MA--NH--RI",0.06060681482,73.69964481,77.933
25023524101,"Boston, MA--NH--RI",0.02619776129,75.23154657,55.957
25009268400,"Boston, MA--NH--RI",0.1101495935,13.45109128,79.135
25009211100,"Boston, MA--NH--RI",0.4995177587,36.91881306,63.202
25017324101,"Boston, MA--NH--RI",-0.02505140453,76.7090039,81.813
25023521201,"Boston, MA--NH--RI",0.09062560843,57.12173552,55.893
25009211300,"Boston, MA--NH--RI",0.1720361685,68.24885437,67.154
25017363102,"Boston, MA--NH--RI",0.02586679607,85.12344302,89.671
25009251100,"Boston, MA--NH--RI",1.119219366,18.00613721,24.347
25017385100,"Boston, MA--NH--RI",-0.03780035971,87.75977439,92.676
25017337102,"Boston, MA--NH--RI",0.2020167171,66.00947395,74.025
25005617101,"Boston, MA--NH--RI",-0.2304818161,80.66222044,60.781
25021456101,"Boston, MA--NH--RI",-0.02770719754,81.10606147,60.272
25021422700,"Boston, MA--NH--RI",0.2031737432,42.10216412,58.284
25005611101,"Boston, MA--NH--RI",-0.03618027856,81.1822694,69.884
25021417701,"Boston, MA--NH--RI",0.651460213,20.17733579,60.412
25021422800,"Boston, MA--NH--RI",0.06903448097,9.642081372,58.378
25021408102,"Boston, MA--NH--RI",0.1769151721,82.5040562,67.321
25009260200,"Boston, MA--NH--RI",0.7444868741,34.10061302,39.507
25017317203,"Boston, MA--NH--RI",0.7138851387,67.29769139,78.75
25023510501,"Boston, MA--NH--RI",0.21301759,57.69758982,45.481
25009211402,"Boston, MA--NH--RI",0.3050208366,58.3234162,63.423
25021442101,"Boston, MA--NH--RI",0.05042799989,79.44057867,63.5
25017321100,"Boston, MA--NH--RI",-0.01320018684,84.50118414,71.742
25009217500,"Boston, MA--NH--RI",0.2825553524,42.8914908,67.24
25017341102,"Boston, MA--NH--RI",0.6788000468,41.29364396,47.031
25017356701,"Boston, MA--NH--RI",0.8260662705,34.35755482,78.233
25021416400,"Boston, MA--NH--RI",0.4778359207,56.27636442,86.915
25021419800,"Boston, MA--NH--RI",0.3340668792,47.37400594,58.816
25017326102,"Boston, MA--NH--RI",-0.08695533385,84.29828627,88.25
25009260301,"Boston, MA--NH--RI",0.2760150539,66.52697368,54.088
25017316102,"Boston, MA--NH--RI",0.3383417458,80.713626,65.757
25017339100,"Boston, MA--NH--RI",0.1183929725,76.62454046,73.177
25009210200,"Boston, MA--NH--RI",0.2758241849,67.69266896,64.093
25021417902,"Boston, MA--NH--RI",0.6886602075,33.82228273,50.81
25021456102,"Boston, MA--NH--RI",0.09873677791,80.51865899,51.944
25023542200,"Boston, MA--NH--RI",-0.187019306,83.43221467,54.773
25023525104,"Boston, MA--NH--RI",-0.04775063261,84.17238613,70.444
25009266200,"Boston, MA--NH--RI",-0.07729914806,61.41667397,61.148
25021417601,"Boston, MA--NH--RI",0.4940456613,21.15060191,54.295
25009261000,"Boston, MA--NH--RI",0.7512201174,46.41443501,49.282
25017333100,"Boston, MA--NH--RI",0.3704403115,77.57093057,59.967
25023525101,"Boston, MA--NH--RI",-0.08755207148,75.08782098,52.697
25009252502,"Boston, MA--NH--RI",0.5835726308,69.35436667,46.741
25017330200,"Boston, MA--NH--RI",0.2660587726,74.9521182,66.1
25009269100,"Boston, MA--NH--RI",0.00058560255,48.11923314,69.385
25025130100,"Boston, MA--NH--RI",0.4059723815,58.66132663,69.219
25017331102,"Boston, MA--NH--RI",0.4205123221,71.66040305,66.455
25025170200,"Boston, MA--NH--RI",0.8590751026,32.42629364,46.968
25025000100,"Boston, MA--NH--RI",1.007698625,8.732514714,51.018
25027713100,"Boston, MA--NH--RI",-0.05210565821,76.18117046,66.681
25009210700,"Boston, MA--NH--RI",0.6683605662,30.52388861,45.562
25009208101,"Boston, MA--NH--RI",0.5032820393,56.81903996,54.679
25025130406,"Boston, MA--NH--RI",0.556837094,53.66469972,50.935
25025110607,"Boston, MA--NH--RI",0.5437121569,51.14632915,78.426
25025120301,"Boston, MA--NH--RI",0.825436678,41.31174579,58.875
25017335100,"Boston, MA--NH--RI",0.3581990973,45.70337245,64.609
25025091800,"Boston, MA--NH--RI",0.9269618794,31.88141178,32.073
25017340100,"Boston, MA--NH--RI",0.4109315065,59.86874734,61.974
25009267102,"Boston, MA--NH--RI",-0.002966273089,62.65770277,50.748
25025090700,"Boston, MA--NH--RI",0.8713047457,8.739111094,50.556
25017321200,"Boston, MA--NH--RI",0.1851186482,66.22875468,47.667
25009262100,"Boston, MA--NH--RI",-0.1158366716,80.69126241,74.878
25025100400,"Boston, MA--NH--RI",0.8523983687,39.24230905,42.151
25027744300,"Boston, MA--NH--RI",0.4193231725,31.30301717,39.118
25009260700,"Boston, MA--NH--RI",0.5371529774,65.02060853,43.304
25009208400,"Boston, MA--NH--RI",0.1908298313,75.29801843,67.396
25023502200,"Boston, MA--NH--RI",0.03685282707,73.16845329,61.437
